,Bulletin_Time,Issue_Time,Station,fcst_time_from,fcst_time_to,sky_condition,visibility_statute_mi,wind_dir_degrees,wind_gust_kt,wind_shear_dir_degrees,wind_shear_hgt_ft_agl,wind_shear_speed_kt,wind_speed_kt,wx_string
0,2019-10-17T01:52:00Z,2019-10-17T01:52:00Z,KJFK,2019-10-17T02:00:00Z,2019-10-17T02:30:00Z,,6.0,100,21,,,,14,-SHRA BR
1,2019-10-17T01:52:00Z,2019-10-17T01:52:00Z,KJFK,2019-10-17T02:00:00Z,2019-10-17T02:30:00Z,,6.0,100,21,,,,14,-SHRA BR
2,2019-10-17T01:52:00Z,2019-10-17T01:52:00Z,KJFK,2019-10-17T02:00:00Z,2019-10-17T02:30:00Z,,6.0,100,21,,,,14,-SHRA BR
3,2019-10-17T01:52:00Z,2019-10-17T01:52:00Z,KJFK,2019-10-17T02:00:00Z,2019-10-17T02:30:00Z,,6.0,100,21,,,,14,-SHRA BR
4,2019-10-17T01:52:00Z,2019-10-17T01:52:00Z,KJFK,2019-10-17T02:00:00Z,2019-10-17T02:30:00Z,,6.0,100,21,,,,14,-SHRA BR
5,2019-10-17T01:52:00Z,2019-10-17T01:52:00Z,KJFK,2019-10-17T02:00:00Z,2019-10-17T02:30:00Z,,6.0,100,21,,,,14,-SHRA BR
6,2019-10-17T01:52:00Z,2019-10-17T01:52:00Z,KJFK,2019-10-17T02:00:00Z,2019-10-17T02:30:00Z,,6.0,100,21,,,,14,-SHRA BR
7,2019-10-17T01:52:00Z,2019-10-17T01:52:00Z,KJFK,2019-10-17T02:00:00Z,2019-10-17T02:30:00Z,,6.0,100,21,,,,14,-SHRA BR
0,2019-10-17T00:27:00Z,2019-10-17T00:27:00Z,KBOS,2019-10-17T00:00:00Z,2019-10-17T01:00:00Z,,6.21,100,23,,,,18,VCSH
1,2019-10-17T00:27:00Z,2019-10-17T00:27:00Z,KBOS,2019-10-17T00:00:00Z,2019-10-17T01:00:00Z,,6.21,100,23,,,,18,VCSH
2,2019-10-17T00:27:00Z,2019-10-17T00:27:00Z,KBOS,2019-10-17T00:00:00Z,2019-10-17T01:00:00Z,,6.21,100,23,,,,18,VCSH
3,2019-10-17T00:27:00Z,2019-10-17T00:27:00Z,KBOS,2019-10-17T00:00:00Z,2019-10-17T01:00:00Z,,6.21,100,23,,,,18,VCSH
4,2019-10-17T00:27:00Z,2019-10-17T00:27:00Z,KBOS,2019-10-17T00:00:00Z,2019-10-17T01:00:00Z,,6.21,100,23,,,,18,VCSH
5,2019-10-17T00:27:00Z,2019-10-17T00:27:00Z,KBOS,2019-10-17T00:00:00Z,2019-10-17T01:00:00Z,,6.21,100,23,,,,18,VCSH
6,2019-10-17T00:27:00Z,2019-10-17T00:27:00Z,KBOS,2019-10-17T00:00:00Z,2019-10-17T01:00:00Z,,6.21,100,23,,,,18,VCSH
0,2019-10-16T23:44:00Z,2019-10-16T23:44:00Z,KJFK,2019-10-17T00:00:00Z,2019-10-17T02:00:00Z,,5.0,120,31,140,2000,50,21,-RA BR
1,2019-10-16T23:44:00Z,2019-10-16T23:44:00Z,KJFK,2019-10-17T00:00:00Z,2019-10-17T02:00:00Z,,5.0,120,31,140,2000,50,21,-RA BR
2,2019-10-16T23:44:00Z,2019-10-16T23:44:00Z,KJFK,2019-10-17T00:00:00Z,2019-10-17T02:00:00Z,,5.0,120,31,140,2000,50,21,-RA BR
3,2019-10-16T23:44:00Z,2019-10-16T23:44:00Z,KJFK,2019-10-17T00:00:00Z,2019-10-17T02:00:00Z,,5.0,120,31,140,2000,50,21,-RA BR
4,2019-10-16T23:44:00Z,2019-10-16T23:44:00Z,KJFK,2019-10-17T00:00:00Z,2019-10-17T02:00:00Z,,5.0,120,31,140,2000,50,21,-RA BR
5,2019-10-16T23:44:00Z,2019-10-16T23:44:00Z,KJFK,2019-10-17T00:00:00Z,2019-10-17T02:00:00Z,,5.0,120,31,140,2000,50,21,-RA BR
6,2019-10-16T23:44:00Z,2019-10-16T23:44:00Z,KJFK,2019-10-17T00:00:00Z,2019-10-17T02:00:00Z,,5.0,120,31,140,2000,50,21,-RA BR
7,2019-10-16T23:44:00Z,2019-10-16T23:44:00Z,KJFK,2019-10-17T00:00:00Z,2019-10-17T02:00:00Z,,5.0,120,31,140,2000,50,21,-RA BR
8,2019-10-16T23:44:00Z,2019-10-16T23:44:00Z,KJFK,2019-10-17T00:00:00Z,2019-10-17T02:00:00Z,,5.0,120,31,140,2000,50,21,-RA BR
9,2019-10-16T23:44:00Z,2019-10-16T23:44:00Z,KJFK,2019-10-17T00:00:00Z,2019-10-17T02:00:00Z,,5.0,120,31,140,2000,50,21,-RA BR
0,2019-10-16T23:20:00Z,2019-10-16T23:20:00Z,KBOS,2019-10-17T00:00:00Z,2019-10-17T02:00:00Z,,6.21,100,24,,,,16,VCSH
1,2019-10-16T23:20:00Z,2019-10-16T23:20:00Z,KBOS,2019-10-17T00:00:00Z,2019-10-17T02:00:00Z,,6.21,100,24,,,,16,VCSH
2,2019-10-16T23:20:00Z,2019-10-16T23:20:00Z,KBOS,2019-10-17T00:00:00Z,2019-10-17T02:00:00Z,,6.21,100,24,,,,16,VCSH
3,2019-10-16T23:20:00Z,2019-10-16T23:20:00Z,KBOS,2019-10-17T00:00:00Z,2019-10-17T02:00:00Z,,6.21,100,24,,,,16,VCSH
